1.638777,7.868079,F5
1.638777,7.868079,G#5
8.931335,9.177229,G4
9.177152,9.750904,G4
9.832663,10.406414,G#4
10.488174,13.438896,C5
13.110217,13.192182,F4
13.192156,13.274121,E4
13.274095,13.356059,D#4
13.356034,14.339608,C#4
16.387772,16.633665,G#4
16.387772,16.633665,F4
18.354304,18.600198,F4
18.354304,18.600198,G#4
20.320837,20.566730,F4
20.320837,20.566730,G#4
22.942880,23.188774,F4
23.024819,23.270712,E4
23.106758,23.188722,D#4
23.270636,24.254210,C#4
25.974618,26.220511,F4
26.302373,26.548267,A#4
26.548190,26.794083,C5
26.875945,27.121839,C#5
27.203701,27.449594,C5
27.367578,27.449543,A#4
27.531456,27.613421,F5
30.153500,30.235464,C5
32.775543,32.857508,C#5
42.608206,42.690170,F4
42.690145,42.772109,E4
42.854022,42.935987,D#4
42.935961,44.083464,C#4
45.885760,46.131654,F4
46.131577,46.377470,E4
46.295454,46.541348,D#4
46.541271,47.852703,C#4
50.474336,50.720230,F4
50.720153,50.966046,E4
50.884031,51.129924,D#4
51.129847,51.785563,C#4
52.276991,52.440920,F4
52.440869,53.096585,F4
53.096380,53.752096,F#4
53.751891,55.227252,A#4
56.210056,56.373985,F#4
56.291995,56.947711,F#4
57.029445,57.685161,G4
57.684956,59.160317,A#4
60.225060,60.880776,G4
60.306999,60.962715,G4
60.962510,61.618226,G#4
61.618021,62.765524,C5
62.765165,62.929094,G4
62.929043,63.584759,G4
63.584553,64.240269,G#4
64.240064,66.207212,C5
66.616291,68.583439,G#4
66.862108,68.829256,C5
69.402212,70.877573,G#4
69.484151,70.959512,C5
87.838455,88.494171,F5
88.493966,89.149682,E5
89.149477,89.805193,C5
89.804988,90.296775,D#5
90.378560,91.034276,C#5
90.460499,91.116215,G4
91.116010,91.607797,C5
91.607643,91.771572,A#4
91.771520,92.427236,G#4
92.836726,93.492442,C5
93.082542,93.738258,G#5
93.738053,93.983946,G5
93.983870,94.229763,F5
94.147747,94.393641,E5
94.393564,94.557493,D#5
94.721319,94.885248,C5
95.049075,95.213004,G#4
96.687852,96.851781,F4
97.015607,97.671323,G4
97.671118,98.326834,G#4
98.326629,99.310203,C5
99.391834,99.555763,F4
99.391834,99.555763,G#4
99.637651,99.801580,A#4
99.965406,100.129335,C5
100.293162,100.621020,C#5
100.620917,100.784846,C5
100.784795,100.948724,A#4
100.948672,101.768317,F5
107.503781,107.667710,F#5
108.159292,108.815008,F#4
108.814803,108.978732,G5
109.470314,110.126030,G4
110.699397,111.355113,G5
110.781335,111.437051,C6
111.191030,111.354959,C5
111.436846,111.928633,G5
111.764602,111.928531,G4
111.928479,112.092408,C5
128.234312,128.398241,F4
128.480129,129.135845,G4
129.135639,129.791355,G#4
129.791150,130.446866,C5
130.774417,130.938346,F4
130.774417,130.938346,G#4
131.102172,131.266101,A#4
131.347989,131.511918,C5
131.675744,132.003602,C#5
132.085438,132.249367,C5
132.249316,132.413245,A#4
132.413194,133.068910,F5
135.936565,136.100494,F4
136.182381,137.083991,C5
136.182381,137.083991,F#4
137.165647,137.411541,A#4
137.329525,137.575419,A4
137.493403,137.657332,C5
137.575342,137.739271,G4
137.985036,138.640752,A#4
138.394730,138.640624,C4
138.394730,138.804553,G4
138.640547,139.214298,C4
138.640547,139.214298,F4
138.886363,139.050292,G#3
